기능,실현 가능 여부,비고
로그인해야만 결과 보기,? 가능,Supabase Auth로 간단히 처리
본인 설문만 조회,? 가능,user_id 체크 + RLS 정책으로 이중 보호
surveys / responses 테이블,? 가능,Supabase 테이블 생성만 하면 됨
설문 생성 시 자동 저장,? 가능,생성 API에서 저장 로직 추가
응답 수집 페이지 (/s/[id]),? 가능,기존 생성 화면과 비슷한 폼 형태
결과 페이지 (/results/[id]),? 가능,로그인 체크 후 데이터 조회
객관식 비율 집계,? 가능,간단한 카운트/퍼센트 계산
차트 (막대/파이),? 가능,"Chart.js, Recharts, ApexCharts 등 사용"
주관식 답변 목록,? 가능,페이징만 추가하면 됨
엑셀/CSV 다운로드,? 가능,이미 openpyxl 경험이 있으니 서버에서 생성하거나 SheetJS 사용
공개 결과 옵션,? 가능,is_public_results 컬럼 하나 추가하면 됨
실시간 응답 수,? 가능,Supabase Realtime 또는 폴링
